color_metrics,fgan_metics,fusion2_metrics,rghs_metrics,udcp_metrics,ugan_metrics,ulap_metrics,ours_metrics
0.5694,0.185,0.69,-0.217,0.2913,-0.0745,0.3832,0.7902
0.5654,0.4056,0.5709,0.1752,0.2636,0.2082,0.6678,0.6063
0.8151,0.0501,1.2157,-0.036,0.6555,-0.3193,0.9367,1.5391
0.9124,0.374,1.0985,0.6163,0.0864,0.1901,0.4408,1.2537
0.9178,0.3803,1.279,0.7304,0.7587,0.3403,0.8357,1.4921
0.8084,0.1047,0.9266,0.4373,0.1658,0.1066,0.328,0.9116
0.17,0.4528,0.4723,0.6166,0.0363,0.4995,0.7021,0.7587
1.0054,0.7591,1.2378,1.0866,0.8622,0.5204,1.1954,1.3179
1.2618,1.0067,1.4152,1.2782,1.283,0.8565,1.5481,1.5216
1.5312,0.7417,1.8802,0.8129,0.9063,0.352,1.1084,1.916
0.8679,0.7829,1.0312,0.8581,0.6033,0.7376,0.8786,1.3234
0.7729,0.5265,1.1898,0.8747,0.6753,0.4749,0.9967,1.4013
